🕘️更新时间,#genre#
CCTV-11,http://60.174.40.117:85/tsfile/live/0011_1.m3u8?key=txiptv
CCTV-12,http://60.174.40.117:85/tsfile/live/0012_1.m3u8?key=txiptv
CCTV-13,http://60.174.40.117:85/tsfile/live/0013_1.m3u8?key=txiptv
CCTV-14,http://60.174.40.117:85/tsfile/live/0014_1.m3u8?key=txiptv
CCTV-15,http://60.174.40.117:85/tsfile/live/0015_1.m3u8?key=txiptv
CCTV-16,http://zqh2333.top:2222/rtp/239.93.55.54:5140
CCTV-17,http://zqh2333.top:2222/rtp/239.93.24.92:5140
CCTV-05+,http://zqh2333.top:2222/rtp/239.93.24.36:8004
CCTV-01,http://221.226.4.10:85/tsfile/live/0001_1.m3u8?key=txiptv
CCTV-02,http://221.226.4.10:85/tsfile/live/0002_1.m3u8?key=txiptv
CCTV-03,http://221.226.4.10:85/tsfile/live/0003_1.m3u8?key=txiptv
CCTV-04,http://221.226.4.10:85/tsfile/live/0004_1.m3u8?key=txiptv
CCTV-05,http://221.226.4.10:85/tsfile/live/1000_1.m3u8?key=txiptv
CCTV-06,http://221.226.4.10:85/tsfile/live/0006_1.m3u8?key=txiptv
CCTV-07,http://221.226.4.10:85/tsfile/live/0007_1.m3u8?key=txiptv
CCTV-08,http://221.226.4.10:85/tsfile/live/0008_1.m3u8?key=txiptv
CCTV-09,http://221.226.4.10:85/tsfile/live/0009_1.m3u8?key=txiptv
CCTV-10,http://221.226.4.10:85/tsfile/live/0010_1.m3u8?key=txiptv
CCTV-11,http://182.32.159.39:85/tsfile/live/0011_1.m3u8?key=txiptv
CCTV-12,http://221.226.4.10:85/tsfile/live/0012_1.m3u8?key=txiptv
CCTV-13,http://221.226.4.10:85/tsfile/live/1001_1.m3u8?key=txiptv
CCTV-14,http://221.226.4.10:85/tsfile/live/0014_1.m3u8?key=txiptv
CCTV-15,http://182.32.159.39:85/tsfile/live/0015_1.m3u8?key=txiptv
CCTV-16,http://58.221.214.82:9901/tsfile/live/0002_2.m3u8?=txiptv
CCTV-05+,http://221.226.4.10:85/tsfile/live/0005_1.m3u8?key=txiptv

CCTV-01,https://hls-gateway.vpstv.net/streams/476879.m3u8
CCTV-02,https://hls-gateway.vpstv.net/streams/476881.m3u8
CCTV-03,https://hls-gateway.vpstv.net/streams/476883.m3u8
